                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6841,                 1.5636,                 1.0724,                0.65495,                0.58511,                0.65176,                0.57928,                0.51945,                 1.1688,                0.96101,               0.006535,               0.006535,               0.006535
                     37,                0.68301,                 1.5362,                 1.0685,                0.66117,                 0.5821,                0.65057,                0.57282,                0.52355,                 1.1646,                0.96324,               0.006436,               0.006436,               0.006436
                     38,                0.68566,                 1.5143,                  1.068,                0.68348,                0.58247,                0.65931,                0.58756,                0.51032,                 1.1382,                0.95279,               0.006337,               0.006337,               0.006337
                     39,                0.68039,                  1.493,                 1.0676,                0.63656,                0.62433,                0.67058,                 0.5913,                0.51236,                 1.1124,                0.95774,               0.006238,               0.006238,               0.006238
                     40,                0.67214,                  1.465,                 1.0643,                0.71337,                 0.5897,                0.68123,                0.60659,                0.50512,                 1.0962,                0.94949,               0.006139,               0.006139,               0.006139
                     41,                 0.6742,                 1.4468,                 1.0633,                0.74303,                0.58114,                0.68491,                0.61492,                0.50535,                 1.0876,                 0.9502,                0.00604,                0.00604,                0.00604
                     42,                0.66188,                 1.4044,                 1.0556,                0.74443,                0.58736,                0.69316,                0.61827,                0.49428,                 1.0608,                0.94201,               0.005941,               0.005941,               0.005941
                     43,                0.66514,                 1.4103,                  1.058,                0.73406,                0.59791,                 0.6939,                0.62332,                0.49281,                 1.0484,                0.94152,               0.005842,               0.005842,               0.005842
                     44,                0.65114,                 1.3688,                 1.0487,                0.74712,                0.59635,                0.70155,                0.62789,                0.49644,                 1.0414,                0.94382,               0.005743,               0.005743,               0.005743
                     45,                0.64979,                 1.3502,                 1.0475,                0.74635,                0.60356,                0.70493,                0.63146,                0.48923,                 1.0315,                0.94164,               0.005644,               0.005644,               0.005644
                     46,                0.65239,                  1.334,                 1.0476,                 0.7674,                0.59869,                0.70993,                0.63606,                0.48968,                 1.0219,                0.94019,               0.005545,               0.005545,               0.005545
                     47,                0.64487,                 1.3196,                 1.0444,                0.75365,                0.61906,                0.71541,                0.64268,                0.48597,                 1.0054,                0.93716,               0.005446,               0.005446,               0.005446
